flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
0.012,6,13,3987,8,114,1,114,454,5,1660,1,2920,3533
4.539,6,37,7205,19,218,252,314,3383,18,516,251,1179,3822
1.597,6,39,12658,20,451,84,1440,3577,19,755,73,1440,9081
0.401,6,2,149,1,0,0,0,40,1,69,0,69,109
0.751,6,3,156,1,0,0,0,40,2,0,593,0,116
8.284,6,11,1729,4,279,2761,279,483,7,174,759,272,1246
0.052,17,2,672,2,308,52,308,672,0,0,0,0,0
0.336,6,21,7290,13,335,27,668,2026,8,1210,47,1906,5264
1781.762,6,363,23007,210,69,8525,69,12678,153,69,11722,69,10329
1786.122,6,150,19350,90,302,20068,302,13740,60,83,30273,83,5610
473.063,6,37,7247,17,151,13789,501,1745,20,276,24890,1420,5502
0.072,17,4,368,2,32,40,32,120,2,96,41,96,248
0.221,6,3,453,2,241,221,241,321,1,92,0,92,132
750.725,17,148,11248,148,48,5106,48,11248,0,0,0,0,0
0.012,6,9,1547,5,515,2,515,783,4,548,3,548,764
1.869,6,14,2351,8,188,267,245,700,6,703,322,1152,1651
2.011,17,3,1167,3,361,1005,361,1167,0,0,0,0,0
240.332,6,48,12273,23,523,10923,1418,5955,25,417,10013,1364,6318
0.106,17,2,588,1,39,0,39,67,1,493,0,493,521
178.891,6,38,24025,24,840,23,1360,6035,14,2177,13752,5432,17990
84.747,6,123,92015,77,1249,1115,1408,81500,46,811,1878,3847,10515
1770.41,6,100,9226,66,64,27237,64,5544,34,58,53646,58,3682
7.805,17,6,528,3,48,3896,48,228,3,72,3896,72,300
291.746,17,4,240,2,32,291745,32,120,2,32,291745,32,120
1799.792,17,4192,201216,2096,20,859,20,100608,2096,20,859,20,100608
1440.353,17,25,5875,25,207,60014,207,5875,0,0,0,0,0
6.47,6,39,7269,19,218,359,314,3383,20,513,326,1179,3886
1789.356,6,356,22520,208,69,8644,69,12460,148,69,12172,69,10060
1746.188,1,8,448,8,28,249455,28,448,0,0,0,0,0
104.944,6,34,17738,16,708,42,1360,4214,18,984,6164,1360,13524
1785.903,17,140,11200,70,48,25882,48,5320,70,56,25882,56,5880
0.737,6,6,1527,4,100,245,100,264,2,1179,397,1179,1263
0.35,6,22,7342,12,335,31,668,1974,10,1210,38,1906,5368
5.884,17,31,13366,14,483,452,1350,7163,17,336,214,1350,6203
1796.538,17,428,38120,385,35,4678,288,24532,43,288,41924,288,13588
61.609,6,37,15791,22,786,2933,1408,9013,15,665,4376,1408,6778
1740.21,17,30,2490,30,55,60007,55,2490,0,0,0,0,0
2.804,17,4,240,2,32,2803,32,120,2,32,2803,32,120
1740.792,17,30,31680,30,1028,60027,1028,31680,0,0,0,0,0
